min_cluster_size,min_samples,cluster_selection_method,metric,algorithm,alpha,silhouette,davies_bouldin,calinski_harabasz,validity_index,coverage,total_clusters,cluster_sizes
10,10,eom,manhattan,best,0.5,-0.21573894,2.291693709525015,1846.5046781494516,0.033504880796118484,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
10,10,eom,manhattan,best,2.0,-0.21573894,2.291693709525015,1846.5046781494516,0.033504880796118484,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
10,20,eom,euclidean,best,0.5,-0.029514788,1.9719795760382128,3222.5980067719447,0.2620915049663132,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
10,20,eom,euclidean,best,2.0,-0.029514788,1.9719795760382128,3222.5980067719447,0.2620915049663132,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
10,20,eom,manhattan,best,0.5,-0.023637626,1.8398446425748483,3573.1115451307396,0.7155626849857606,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
10,20,eom,manhattan,best,2.0,-0.023637626,1.8398446425748483,3573.1115451307396,0.7155626849857606,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,1,eom,euclidean,best,0.5,-0.051825594,1.539699660725047,145.2610433906545,0.132957438459758,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,1,eom,euclidean,best,2.0,-0.051825594,1.539699660725047,145.2610433906545,0.132957438459758,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,1,eom,manhattan,best,0.5,-0.045722745,1.5448702553578357,136.12755384363876,0.13368522125751808,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,1,eom,manhattan,best,2.0,-0.045722745,1.5448702553578357,136.12755384363876,0.13368522125751808,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,2,eom,euclidean,best,0.5,-0.08776176,1.5513834686925874,136.74465985132343,0.16686071146357406,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,2,eom,euclidean,best,2.0,-0.08776176,1.5513834686925874,136.74465985132343,0.16686071146357406,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,2,eom,manhattan,best,0.5,-0.08317519,1.5525409554066416,135.49701298296557,0.15646875279590713,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,2,eom,manhattan,best,2.0,-0.08317519,1.5525409554066416,135.49701298296557,0.15646875279590713,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,5,eom,euclidean,best,0.5,-0.19466795,2.6181714478724847,361.1997493326664,0.26851029530482834,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,5,eom,euclidean,best,2.0,-0.19466795,2.6181714478724847,361.1997493326664,0.26851029530482834,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,5,eom,manhattan,best,0.5,-0.20953971,1.8643632786349842,345.76520770932655,0.22955450398041538,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,5,eom,manhattan,best,2.0,-0.20953971,1.8643632786349842,345.76520770932655,0.22955450398041538,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,10,eom,euclidean,best,0.5,-0.032677554,1.8970364180281534,3309.8915673868687,0.04073764069819685,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,10,eom,euclidean,best,2.0,-0.032677554,1.8970364180281534,3309.8915673868687,0.04073764069819685,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,10,eom,manhattan,best,0.5,-0.044123016,2.0161113449757724,2807.6653995200904,0.7148238637140842,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,10,eom,manhattan,best,2.0,-0.044123016,2.0161113449757724,2807.6653995200904,0.7148238637140842,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
