eps,min_samples,silhouette,davies_bouldin,calinski_harabasz,coverage,total_clusters,cluster_sizes
0.9,50,-0.19595418870449066,2.379868554724146,68247.38160312908,0.9994752255683645,3,"[16236, 42750, 56]"
0.9,100,-0.06479109823703766,1.0770176228356938,102453.79627090732,0.9979009022734583,2,"[16236, 42713]"
0.9,200,-0.06417936831712723,1.021230482106085,102750.29676762962,0.9974776970866555,2,"[16236, 42688]"
0.9,500,-0.05015026777982712,1.239427935273251,102726.61755945439,0.9957510199245002,2,"[16227, 42595]"
1.0,5,-0.8045996427536011,0.6573084673137398,43.821425446024755,1.0,5,"[58986, 56, 12, 10, 9]"
1.0,10,-0.8045996427536011,0.6573084673137398,43.82142544602475,0.999847646132751,4,"[58986, 56, 12, 10]"
1.0,20,-0.4379004240036011,2.5006983275542,46.221953869946645,0.9994752255683645,2,"[58986, 56]"
1.0,50,-0.4379004240036011,2.5006983275542,46.221953869946645,0.9994752255683645,2,"[58986, 56]"
1.0,100,-0.06550385802984238,1.1063708609953988,102334.9325964742,0.9981040407631236,2,"[16239, 42722]"
1.0,200,-0.06507356464862823,1.0948876854651772,102393.4483355346,0.998019399725763,2,"[16239, 42717]"
1.0,500,-0.06661920249462128,1.0879088107584909,102695.50495078521,0.9973253432194065,2,"[16236, 42679]"
